Rank,Movie,"Release
Date",Distributor,Genre,MPAA,2016 Gross,Tickets Sold
1,Finding Dory,6/17/2016,Walt Disney,Adventure,PG,"$486,295,561",56219140
2,Rogue One: A Star Wars Story,12/16/2016,Walt Disney,Adventure,PG-13,"$424,987,707",49131526
3,Captain America: Civil War,5/6/2016,Walt Disney,Action,PG-13,"$408,084,349",47177381
4,The Secret Life of Pets,7/8/2016,Universal,Adventure,PG,"$368,384,330",42587783
5,The Jungle Book,4/15/2016,Walt Disney,Adventure,PG,"$364,001,123",42081054
6,Deadpool,2/12/2016,20th Century Fox,Action,R,"$363,070,709",41973492
7,Zootopia,3/4/2016,Walt Disney,Adventure,PG,"$341,268,248",39452976
8,Batman v Superman: Dawn of Justice,3/25/2016,Warner Bros.,Action,PG-13,"$330,360,194",38191930
9,Suicide Squad,8/5/2016,Warner Bros.,Action,PG-13,"$325,100,054",37583821
10,Doctor Strange,11/4/2016,Walt Disney,Adventure,PG-13,"$230,107,790",26602056
11,Fantastic Beasts and Where to Find Them,11/18/2016,Warner Bros.,Adventure,PG-13,"$222,675,573",25742841
12,Moana,11/23/2016,Walt Disney,Musical,PG,"$210,046,114",24282787
13,Star Wars Ep. VII: The Force Awakens,12/18/2015,Walt Disney,Adventure,PG-13,"$194,453,283",22480148
14,The Revenant,12/25/2015,20th Century Fox,Adventure,R,"$182,765,375",21128945
15,Sing,12/21/2016,Universal,Adventure,PG,"$166,497,820",19248302
16,Jason Bourne,7/29/2016,Universal,Action,PG-13,"$162,192,920",18750626
17,Star Trek Beyond,7/22/2016,Paramount Pictures,Adventure,PG-13,"$158,848,340",18363969
18,X-Men: Apocalypse,5/27/2016,20th Century Fox,Action,PG-13,"$155,442,489",17970229
19,Trolls,11/4/2016,20th Century Fox,Adventure,PG,"$150,130,292",17356103
20,Kung Fu Panda 3,1/29/2016,20th Century Fox,Adventure,PG,"$143,528,619",16592903
21,Ghostbusters,7/15/2016,Sony Pictures,Comedy,PG-13,"$128,350,574",14838216
22,Central Intelligence,6/17/2016,Warner Bros.,Comedy,PG-13,"$127,440,871",14733049
23,The Legend of Tarzan,7/1/2016,Warner Bros.,Adventure,PG-13,"$126,643,061",14640816
24,Sully,9/9/2016,Warner Bros.,Drama,PG-13,"$124,976,335",14448131
25,Bad Moms,7/29/2016,STX Entertainment,Comedy,R,"$113,257,297",13093329
26,The Angry Birds Movie,5/20/2016,Sony Pictures,Adventure,PG,"$107,509,366",12428828
27,Independence Day: Resurgence,6/24/2016,20th Century Fox,Action,PG-13,"$103,144,286",11924194
